name	seq
aabar eshechhey aashar	ssrrrrGsrmGGmmmrss.Nss.N.Nsrs.N.Ns.p.p.p.pssss.nsrGGrrsrrrrrrGsrmGGmmmmrrsssmmpppppppmNddpppmppp's's'sNN'sNddNdppmpdNddppmmpppppppmNddpppmppp's's'sNN'sNddNdppmpdNddppmmppppppmmppNNGGGmmmrGss.p.N.p.p.N.p.pppppppppmppNNdpmpmGrGrss.p.N.p.p.N.p.pppppppppmppNNdpmpmGrGrssnnnnnn's'sppnnnnnn's'snnnnnn's'sn'r'sNdNdpppNNNdppppNNNNdppgmpdNdpmGrrrrGsrmGmmmrs
aachhey dukkho aachhey mrittyu	srrggggrssrsrgrrssrmmmmmmgpmggpD's's's'R's's'G'R'sNDDpDNDpppppMpDDDsrrggggrssrsrgrrsppDmpD's's'R's's's'sn's's's'R'R'R's'G'R'R's'sNDpppDmpD's's'R's's's'sn's's's'R'R'R's'G'R'R's'sNDpppDD'R's'sNNDppppDNDpmpDDDDDDsrrggggrssrsrgrrssrmmmmmmmmggmmgmNNDDDppDpmggsrgmggrgrssssRgmMmmmmmmsrmmmmmmmmggmmgmNNDDDppDpmggsrgmggrgrssssRgmMmmmmmmpDmpD's's'R's's'sn's's's'R'R's's'G'G'R'sN'sNDpppDDD'R'sN'sNNDppppDNDppMppMpDDDsrrggggrssrsrgrrssrmmmmmmgpmggpD's's's'R's's'G'R'sNDDpDNDpppppMpDD
aadheko ghumey noyono chumey	n's'g'r's'sn's'r'snndnnnnndppmmmmmmmpggmdddnn's's'snn's's'g'g'r'r's's'snn's'sddnn's'sddn's'g'g'r'r's's'snn's's'r'r's'snnnddnnnnnnnnnddpppmmmmmmmmmmmpgggmmddddnn's's'snn's's'g'g'r'r's's'snn's'sddnn's'sddnn'sddddnn's's'snnddddnn's's'snnddddddddddnnnnnnnnn's'g'g'm'p'm'g'm'g'r's'sn's'g'r's'r'sn's's's's'sn'sddn's'snddn's'sndddddnnnnnnn's'g'g'm'p'm'g'm'g'r's'sn's'g'r's'r'sn's's's's'sn's'g'r's'sn's'snnddnnnnddppmmmmmmmpggmddn's'sn's'g'r's'sn'sdn'sdsmmmmmmmmmmmmsmmmmmgppmmmmmmmmmpggmddn's'snnddddnnnndddppmmmgppmmmmmsmmmmmmmmmmmmsmmmmmgppmmmmmmmmmpggmddn's'snnddddnnnndddppmmmgppmmmmmdddn's'snndn's'snnddddnnnnnnn's'g'g'm'p'm'g'm'g'r's'sn's'g'r's'r'sn's's's's'sn's'g'r's'sn's'r'snnddnnnnddppmmmmmmmpggmddn's'sn's'g'r's'r'sn'sdn'sdn's'g'r's's's's's's's
aaguner poroshmoni	gggggggggggggggrrmmmmmmmmmmmmgggppmmggggggggggggrrrmmggrrrrrrrrgssgrssssssspppppppppMppMppppppsrggggggggggggggrmmmmmmmggpmggggggggrrmgrrrrrrrgssgrssssssspppppppppMppMppppppsrggggggggggggggrmmmmmmmmmpppppppppppppMMpppMMpppnnnnnnndddddpppppmmmmmgrrrmmgggpppppppppppppppppppppMMpppMMpppnnnnnnndddddpppppmmmmmgrrrmmgggppnnnnnnnnnnnnnndnn's's's'sn'r'r's's'snndnnnppnnnnnnnnnnnnnndnn's's's'sn'r'r's's'snndnnnnnnnssrrggggggggggggggggggggggggrrmmmmmmmmmmmssssssssssssssssssssssss.n.nssrrrrssggggggggggmmppmmgggmmggrrrggmgggssssssssssssssssssssssss.n.nssrrrrssggggggggggmmppmmgggmmggrrrggmgggpppppppppppppppppppppppppMMppMppnnnnnnndddddpppppmmmmmgrrrggmgggppnnnnnnnnnnnnnndnn's's's'r'r's's'snndnnnppnnnnnnnnnnnnnndnn's's's'r'r's's'snndnnnnnnnssrrggggggggggggggggggggggggrrmmmmmmmm
aaj dhaner khetey	ss.dssssssrgppppppdpdnnnddpppdppmmgrsgggggrgrrssssss.dssssssrgppppppdpdnnnddpppdppmmgrsgggggrgrrssssssppppppppMMppddppssrrgppppdpdnndppgggrggmmgrssssss.dssssssrgppppppdpdnnnddpppdppmmgrsgggggrgrrssssppppdd's's's's'r'r's'snndndppddpppmgpppdd'snddddddNdppppppppppdd's's's's'r'r's'snndndppddpppmgpppdd'snddddddNdppppppppppdd's'snnddppddppppmmggrgsrggggggppppppppMMppddppssrrgppppdpdnndppgggrggmmgrssssss.dssssssrgppppppdpdnnnddpppdppmmgrsgggggrgrrssssss.dssssssrgppdppmmgggrggmmggrssssss.dssssssrgppdppmmgggrggmmggrssssppppddd's's's's'r'r's'snndnppddppppgppdnnnngggrggmmgrssssppppdd's's's's'r'r's'snndnppddpppmgpppdd'snddddddNdppppppppppdd's's's's'r'r's'snndnppddpppmgpppdd'snddddddNdppppppppppdd's'snndnppddpppppmggrgsrggggggppppppppMMppddppssrrgppppdpdnndppgggrggmmgrssssss.dssssssrgppppppdpdnnnddpppdppmmgrsgggggrgrrsssss
aaj jemon korey gaichhey aakash	srgmpddpmpmgggrgggrgmgmgrssrrrgggrgmppdpmgrsssrgmpddpmpmggggggggpppppppgppd'sndppppdpdndpppppddpdpmgrs.nsrgmpddpmpmgggggggggpd's'sdn's'r'sn's's's's's's'sd's's'snddddpdn's'sndndpppmgggpppMpppppdn's'r'sdndppmgggmpddpdMppmggmrgmppdpmgrssrgmpddpmpmgg
aaj jyotsna raatey	nn's'g'r's'snnMpppmmmgggmmpppnnnnn's's'g'g'r'r's's'snnnMMpppmmmgggmmppnnnn's's's's's's'rn'r'rnn'r'r'snpnnnn's'g'r's'snnMppmmggmppnnnn's'g'r's'snnMppmmggmppnnnnpppnnnnn's'r'snpppppppnnn's's's's'sn's's's's'snn's'snnppMppmmgrgrmgggggggppppMppnMMppnnpnnnnnn's's's's's's's'r'rnn'r'r'rnnn'r'r'r's'snnppnnnnn's's'g'g'r'r's's'snnnMMpppmmmgggmmpppnnnnnsssss.n.n.n.n.n.nssgggggmmrrmmmmgggggggrrrrmmmmmggrrssssggggmmrrmmmmgggggggsssss.n.n.n.n.n.nssgggggmmrrmmmmgggggggrrrrmmmmmggrrssssggggmmrrmmmmgggggggpppppnnnnn's's's's's's's's'snn's's's's's's's's's'snn's's'snnnppppMMpppmmgggrrggrrmmggggggggpppppppMMpppnnMMMpppnnnppnnnnnnn's's's's's's's's's's'r'rnn'r'r'rnnn'r'r'r's'snnppnnnnn's's'g'g'r'r's's'snnnMMpppmmmgggmmpppnnnnn's's's's's's's's's's'r'rnn'r'r'rnnn'r'r'r's'snnppnnnn
aaj khela bhangar khela	pdN'r's'sNdpgmpppppdpdN'r's'sNdpgmpppdpdpdddNNN'r's's'sNNddppddNN'r's's'sNNddppggmppppppppnnnnnnndnn's's's'sNdpmnnnnnnndnn's'sn'r'sNdpdN'r's'sNdpdN'r's'sNdpgmpppppppp'g'g'g'g'g'g'g'g'g'p'm'm'g'rnn's'sn's'sn'sn'r's'smppdpNddNN'r'sNdpmgmpppppppp'g'g'g'g'g'g'm'g'r'sn'r'sNdpdN'r's'sNdpdN'r's'sNdpgmppppppppssssrrggrgggmmmmmpppppmgmmdpdddd'g'g'g'g'g'g'g'g'g'p'm'g'rnn's'sn's'sn'sn'r's'smppdpdNddNN'r'sNdpmgmpppppppp'g'g'g'g'g'g'g'm'g'r's'sn'r'sNdpdN'r's'sNdpdN'r's'sNdpgmppppppp
aaji  bangladesher hridoy hotey	ss's's's's's's'snnnddndppddd'r's'spppppp'sn'sn'sddpppggpppggrrrggrrggrssssssrrrggggggggmmgrrgggddppMMpggrrrssrggrrsssssssss's's's's's's's's's'snnnnnddddnndppppdddddd'r'r's's'sppppppppppp's'snn's'snn'sddpppggpppggrrrggrrggrssssssrrrgggggmgrggdpMpgrrsrgrssssggppppppMppdnnpMpndndpMpgsrrgggggmgrggdpMpgrrsrgrssssssppgpddd's's's's's's'r'r'r's'r'g'r'r'sndndppppppppgpddd's's's's's's'r'r'r's'r'g'r'r'sndndppd'r's'snn'sndppppmgrgrssrgrgggggsrrpMpgggmgrgrgdpMpgrrsrgrs.ns.d.dsrppMpgss's's's's's'snnnddndppdddd'r's's's'sppp's'sn'sn'sdppgppggrgrgrssssrrgggggmgrggdpMpgrrsrgrssssggppppppMppdnnpMpnpdndpMpggssss.dssrsrgggggrrgrssssgrrgrsrsssggpppdnnppnddndpdpppggpppdnnppnddnddppppmgpmgrgrsrsssssssssssgggpddd'sn'r's's's's'r'r'r'r's's'r'g'g'r'r's's'snnddnndppddd'r'r's's'snnnn's'snddpppggppmmggrrggrssggggrrggggggssrrrppMMpggggggmmgrrggrggddppMMpggrrrssrggrrss.n.ns.d.dssrrrpppMMpggssss's's's's's's's's's'snnnnnddddnndppppdddddd'r'r's's's's'spppppp's's'snn's's'sddpppggpppggrrrggrrggrssssssrrrggggggggmmgrrgggddppMMpggrrrssrggrrsssssggggppppppppppMMpppddnnddppMMpnnddnnddppMMpgggssss's's's's's's's's's'snnnnnddddnndppppdddddd'r'r's's'sppppppppppp's'snn's'snn'sddpppggpppggrrrggrrggrssssssrrrggggggggmmgrrgggddppMMpggrrrssrggrrssssss
aaji bijono ghorey	s.nsssgggmrrgmgggppMppMMpppppppmmmggrrrggmgggggggss.n.n.n.n.n.n.n.d.nsssssssssgggmpp's'snnpp's's'snpMdppmgggggggmppdppmmmggrrs.n.nssssgggggmmrrrggmggggppppMMppppMMppnnnppnnn's's's'g'g'r'r'rnn's's's's's's'spp's's's's'snnppnnnnppppppp'snnnppMppMMddpppmmgggggmmnnddppddpmmgggrss.n.n.nssgggsss.n.nssgggppppppppppppMppMMdppmmmggrrs.n.nssssgggggmmrrrggmggggsssss.n.n.n.n.n.p.p.n.n.n.n.nsssss.n.n.n.p.p.n.n.n.n.n.nsssggggggggmmppddpmmpmmgggggggggggmmppddpmmpmmggggggsssss.n.n.n.n.n.p.p.n.n.n.n.nsssss.n.n.n.p.p.n.n.n.n.n.nsssggggggggmmppddpmmpmmgggggggggggmmppddpmmpmmggggggppppMMppppMMppnnnppnnn's's's'g'g'r'r'rnn's's's's's's'spp's's's's'snnppnnnnppppp's'snnppMMpppddpppmmgggggmmnnddpppmmggrrss.n.n.nssgggsss.n.nssgggppppppppppppMppMMdppmmmggrrs.n.nssssgggggmmrrrggmggg
